Trial,Eccentricity (degrees),Reaction Time (s),Direction,Color,Correctness,1/2/3 Colors,Name,Attention,Circle Size (degrees)
214,10,0.3358847,2,"[255, 255, 0]",1,2,B,Covert,4
215,10,0.3497833,2,"[255, 255, 0]",1,2,B,Covert,4
216,10,0.2825393,2,"[255, 255, 0]",1,2,B,Covert,4
217,15,0.3603322,0,"[255, 255, 0]",0,2,B,Covert,4
218,15,0.367237,2,"[0, 0, 255]",0,2,B,Covert,4
219,15,0.4407818,0,"[0, 0, 255]",1,2,B,Covert,4
220,15,0.3533967,0,"[0, 0, 255]",1,2,B,Covert,4
221,15,0.3350085,0,"[0, 0, 255]",1,2,B,Covert,4
222,15,0.3506777,0,"[0, 0, 255]",1,2,B,Covert,4
223,15,0.3450016,0,"[0, 0, 255]",1,2,B,Covert,4
224,15,0.3417653,0,"[0, 0, 255]",1,2,B,Covert,4
225,15,0.3333187,0,"[0, 0, 255]",1,2,B,Covert,4
226,15,0.3340582,0,"[255, 255, 0]",1,2,B,Covert,4
227,15,0.346001,0,"[255, 255, 0]",1,2,B,Covert,4
228,15,0.3222608,0,"[255, 255, 0]",1,2,B,Covert,4
229,15,0.316354,0,"[255, 255, 0]",1,2,B,Covert,4
230,15,0.5345318,2,"[0, 0, 255]",1,2,B,Covert,4
231,15,0.458607,2,"[0, 0, 255]",1,2,B,Covert,4
232,15,0.4061365,2,"[0, 0, 255]",1,2,B,Covert,4
233,15,0.3601002,2,"[0, 0, 255]",1,2,B,Covert,4
234,15,0.308131,2,"[0, 0, 255]",1,2,B,Covert,4
235,15,0.2485222,2,"[0, 0, 255]",1,2,B,Covert,4
236,15,0.4251112,2,"[255, 255, 0]",1,2,B,Covert,4
237,15,0.4150007,2,"[255, 255, 0]",1,2,B,Covert,4
238,15,0.346608,2,"[255, 255, 0]",1,2,B,Covert,4
239,15,0.3423769,2,"[255, 255, 0]",1,2,B,Covert,4
240,15,0.3412809,2,"[255, 255, 0]",1,2,B,Covert,4
241,20,0.4053051,0,"[0, 0, 255]",0,2,B,Covert,4
242,20,0.2481143,0,"[0, 0, 255]",0,2,B,Covert,4
243,20,0.2913635,2,"[255, 255, 0]",0,2,B,Covert,4
244,20,0.364767,0,"[0, 0, 255]",1,2,B,Covert,4
245,20,0.3119237,0,"[0, 0, 255]",1,2,B,Covert,4
246,20,0.2944917,0,"[0, 0, 255]",1,2,B,Covert,4
247,20,0.3975153,0,"[255, 255, 0]",1,2,B,Covert,4
248,20,0.3822735,0,"[255, 255, 0]",1,2,B,Covert,4
249,20,0.3453135,0,"[255, 255, 0]",1,2,B,Covert,4
250,20,0.2771296,0,"[255, 255, 0]",1,2,B,Covert,4
251,20,0.3106784,0,"[255, 255, 0]",1,2,B,Covert,4
252,20,0.312903,0,"[255, 255, 0]",1,2,B,Covert,4
253,20,0.2794221,0,"[255, 255, 0]",1,2,B,Covert,4
254,20,0.4409758,2,"[0, 0, 255]",1,2,B,Covert,4
255,20,0.4324189,2,"[0, 0, 255]",1,2,B,Covert,4
